slug, created, items, seller fee, no. of owners, no. of sales, total sales, contract(s), name
phunkverse, Oct 24 2022, 16, -, 7, 0, 0 ETH, (1) Phunkverse (PHNKVRS) @ 0xd6a6e1e60dd1f82ad378b16fac00cf1d0a25f2e7, Phunkverse
onlyphunks, Oct 23 2022, 1, 6.9%, 1, 0, 0 ETH, (1) OnlyPhunk (OPh) @ 0x2ac19bf40a72c210b5d3b45c90e3222f4aefdb6e, OnlyPhunks
punk-ape-yacht-club-v2, Sep 12 2022, 4985, 6.0%, 1124, 3624, 73 ETH, (1) Unidentified contract () @ 0xe5a5520b798c5f67ca1b0657b932656df02595ad, PUNK APES YC
v3phunks, Aug 27 2022, 9997, -, 1448, 7959, 188 ETH, (1) V3 Phunks (V3PHUNKS) @ 0xb7d405bee01c70a9577316c1b9c2505f146e8842, V3Phunks
punked-goblins, Aug 14 2022, 623, 7.5%, 139, 3, 0 ETH, (1) Punked Goblins (PG) @ 0xc1464cee1fed185505cf20794952739a689d8bda, Punked Goblins
phunksinblack, Jul 31 2022, 1300, -, 161, 151, 1 ETH, (1) PhunksInBlack (PHBLK) @ 0x2636942bfd3f60f4ec43e02edafcc84c9d49fb8e, Phunks In Black
crypto-marcs, Jul 17 2022, 4932, 5.0%, 968, 3142, 109 ETH, (1) Crypto Marcs (MARCS) @ 0xe9b91d537c3aa5a3fa87275fbd2e4feaaed69bd0, Crypto Marcs
thejews-nft, Jul 17 2022, 4745, 10.0%, 2135, 3614, 167 ETH, (1) The Jews (JEWS) @ 0x1e283601f53032d9aac8dc73632f4e482e761c70, TheJewsNFT
the-americans-nft, Jul 14 2022, 9994, 7.5%, 2197, 17672, 1029 ETH, (1) The Americans (TAs) @ 0x4ef3d9eab34783995bc394d569845585ac805ef8, The Americans NFT
thesaudis, Jul 09 2022, 5555, 7.5%, 2035, 11718, 9804 ETH, (1) Unidentified contract () @ 0xe21ebcd28d37a67757b9bc7b290f4c4928a430b1, The Saudis
dooggies, Jun 11 2022, 2116, 5.0%, 184, 7, 1 ETH, (1) Dooggies (Dooggies) @ 0xb4e62d6363f82e0e74e8963828815f907eab2c66, Dooggies
pixel-goblintown, May 21 2022, 4440, -, 1435, 6509, 77 ETH, (1) Pixel goblintown (GOBLIN) @ 0x255503fe2a00f6b1e3b8a893e2a4c2363be38225, Pixel goblintown
wastelandpunks, May 08 2022, 397, 5.0%, 75, 0, 0 ETH, (1) WastelandPunks (WST) @ 0x48a4db0c92855ab80345c7848bf15b312f1049f2, WastelandPunks
proof-moonbirds, Apr 15 2022, 10000, 5.0%, 6629, 9714, 173384 ETH, (1) Moonbirds (MOONBIRD) @ 0x23581767a106ae21c074b2276d25e5c3e136a68b, Moonbirds
eightbitme, Mar 30 2022, 8888, 5.0%, 3021, 19878, 9030 ETH, (1) EightBit (BIT) @ 0x6080b6d2c02e9a0853495b87ce6a65e353b74744, EightBit Me
binaryapes, Feb 21 2022, 9973, 9.0%, 783, 735, 5 ETH, (1) Crypto BAYC (CBAYC) @ 0xdcd552496f0240374e365b7776239672bfd891a8, BinaryApes
