slug, created, items, seller fee, no. of owners, no. of sales, total sales, contract(s), name
phunk-aliens-origins, Sep 29 2022, 890, -, 108, 643, 3 ETH, OPENSTORE, Phunk Aliens Origins
ghozalipunk, Jan 16 2022, 935, 10.0%, 2, 2, 0 ETH, OPENSTORE, GhozaliPunk
high-effort-punks, Jan 08 2022, 120, 10.0%, 1, 0, 0 ETH, OPENSTORE, High Effort Punks
punkoftheday, Jan 05 2022, 300, 10.0%, 18, 28, 1 ETH, OPENSTORE, Punk of the Day
cryptomasterpiecez, Dec 29 2021, 61, 6.0%, 8, 9, 0 ETH, OPENSTORE, CryptoMasterpiecez
beautiful-female-punks, Nov 28 2021, 39, -, 2, 1, 0 ETH, OPENSTORE, Afro-Punks #
pixel-gals, Oct 30 2021, 61, 3.0%, 1, 0, 0 ETH, OPENSTORE, PixelGalsNFT
dubaipeeps, Oct 25 2021, 600, 10.0%, 280, 614, 74 ETH, OPENSTORE, DubaiPeeps
blockydogeguilds, Oct 09 2021, 1000, 5.0%, 477, 2273, 552 ETH, OPENSTORE, Blocky Doge: Guilds
goodbye-punks, Oct 03 2021, 100, 10.0%, 86, 99, 15 ETH, OPENSTORE, Goodbye Punks
blockydoge, Sep 15 2021, 100, 5.0%, 80, 246, 877 ETH, OPENSTORE, Blocky Doge
cryptoralph, Sep 13 2021, 1089, 5.3%, 219, 295, 5 ETH, OPENSTORE, CryptoRalph
athletes-101, Sep 11 2021, 35, 10.0%, 3, 0, 0 ETH, OPENSTORE, Athletes 101
cryptoluxurypunks, Sep 05 2021, 6629, 10.0%, 80, 144, 2 ETH, OPENSTORE, CryptoLuxuryPunks
thecryptogenius, Sep 02 2021, 90, 10.0%, 42, 69, 2 ETH, OPENSTORE, The Crypto Genius
histopunks, Aug 29 2021, 176, 5.0%, 65, 105, 13 ETH, OPENSTORE, HistoPunks
weape24, Aug 24 2021, 9900, 2.5%, 4093, 20112, 938 ETH, OPENSTORE, weape24
monkepunks, Aug 21 2021, 999, 5.0%, 601, 1756, 137 ETH, OPENSTORE, MonkePunks
figurepunks, Aug 13 2021, 454, 10.0%, 39, 131, 3 ETH, OPENSTORE, Figure Punks
youtubepunks, Aug 11 2021, 500, 10.0%, 227, 410, 13 ETH, OPENSTORE, YoutubePunks
onlypunksnft, Aug 10 2021, 2386, 10.0%, 1033, 3921, 232 ETH, OPENSTORE, OnlyPunks NFT
24px, Aug 02 2021, 9893, 2.5%, 4217, 28219, 3588 ETH, OPENSTORE, 24px
cinepunkss, Jul 31 2021, 362, 2.5%, 115, 230, 6 ETH, OPENSTORE, CinePunks
mafia-punks-club, Jul 10 2021, 195, 3.5%, 88, 197, 4 ETH, OPENSTORE, Mafia Punks Club
frontphunks, Jul 01 2021, 998, 10.0%, 184, 478, 16 ETH, OPENSTORE, CryptoFrontPunks
erc1155ffp, Jun 30 2021, 448, 10.0%, 268, 2828, 3966 ETH, OPENSTORE, Fast Food Punks (ERC-115)
dogepunks-collection, Jun 15 2021, 150, 10.0%, 69, 221, 5 ETH, OPENSTORE, DogePunks.
kimono-punks, May 23 2021, 982, 10.0%, 447, 1069, 29 ETH, OPENSTORE, KimonoNinjaPunks
goblin-punks, Apr 27 2021, 99, 10.0%, 69, 197, 34 ETH, OPENSTORE, Goblin Punks
clout-punks, Apr 15 2021, 517, 8.0%, 279, 764, 86 ETH, OPENSTORE, Clout Punks
morepunks, Apr 03 2021, 1012, 10.0%, 388, 1712, 84 ETH, OPENSTORE, MorePunks
pixelmeows, Mar 29 2021, 100, 10.0%, 13, 15, 0 ETH, OPENSTORE, PixelMeows
etherbears, Mar 19 2021, 4995, 7.0%, 1531, 2502, 83 ETH, OPENSTORE, EtherBears
cryptogreats, Mar 18 2021, 932, 10.0%, 139, 624, 11 ETH, OPENSTORE, CryptoGreats
mariachipunks, Mar 16 2021, 10, 10.0%, 7, 8, 2 ETH, OPENSTORE, MariachiPunks
scifipunks, Mar 16 2021, 232, 10.0%, 43, 62, 10 ETH, OPENSTORE, ScifiPunks
reggaetonpunks, Mar 16 2021, 100, 10.0%, 43, 95, 13 ETH, OPENSTORE, ReggaetonPunks
genius-punks, Mar 15 2021, 34, 7.5%, 11, 28, 6 ETH, OPENSTORE, Genius Punks
monster-punks, Mar 12 2021, 91, 10.0%, 39, 93, 4 ETH, OPENSTORE, Monster Punks
rappunks, Mar 11 2021, 90, 6.0%, 42, 87, 46 ETH, OPENSTORE, RapPunks
the-pixel-portraits-og, Mar 07 2021, 997, 10.0%, 547, 1030, 104 ETH, OPENSTORE, The Pixel Portraits OG Collection
bwpunks, Feb 28 2021, 147, -, 67, 118, 56 ETH, OPENSTORE, B&W Punks
bespokedpunks, Feb 26 2021, 30, 10.0%, 20, 16, 3 ETH, OPENSTORE, BespokedPunks
facelesspunks, Feb 25 2021, 19, 10.0%, 13, 23, 5 ETH, OPENSTORE, FacelessPunks
anime-punks, Feb 23 2021, 999, 10.0%, 341, 953, 139 ETH, OPENSTORE, Anime Punks
unofficialpunks, Feb 21 2021, 99, 10.0%, 82, 167, 145 ETH, OPENSTORE, Unofficial Punks
laser-eye-punks, Feb 21 2021, 89, 10.0%, 54, 65, 9 ETH, OPENSTORE, Laser Eye Punks
